City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
374,Jaru,BR,72.03,overcast clouds,-10.4389,-62.4664,Hotel Paraná
375,Papar,MY,87.8,broken clouds,5.7333,115.9333,Koposizon Homestay
378,Devarkonda,IN,89.67,overcast clouds,16.7,78.9333,Vishnu Priya Ac Lodge
381,Ciudad Bolivar,VE,76.12,scattered clouds,8.1222,-63.5497,Hotel Edi
382,Antsohihy,MG,75.11,light rain,-14.8796,47.9875,Hotel de Ville
383,Marabba,SD,89.91,scattered clouds,12.35,32.1833,
385,Sur,OM,80.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
386,Jamame,SO,90.12,clear sky,0.0722,42.7506,
387,Mecca,SA,85.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
389,Barranca,PE,72.19,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
391,Kununurra,AU,93.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
393,Karratha,AU,94.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
394,Saint-Louis,SN,76.64,clear sky,16.3333,-15.0,
395,Soanierana Ivongo,MG,80.62,light rain,-16.9167,49.5833,La Concorde
396,Rayagada,IN,94.26,scattered clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
397,Kota Belud,MY,87.66,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
398,Mfou,CM,71.46,few clouds,3.7159,11.6427,Maison Du Juge Noah
399,Churachandpur,IN,72.68,clear sky,24.3333,93.6667,M.Pumkhanjam' INN
406,Bani,DO,74.75,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
418,Mlalo,TZ,87.64,overcast clouds,-4.9333,38.9333,B Farm
419,Birao,CF,86.99,few clouds,10.2849,22.7882,
422,General Roca,AR,70.2,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
430,Miandrivazo,MG,85.24,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
431,Chepareria,KE,76.05,clear sky,1.3077,35.2039,Hamza Lodge
432,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
433,Linhares,BR,71.33,overcast clouds,-19.3911,-40.0722,Hotel Conceição
439,Khandbari,NP,74.21,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
440,Xinyu,CN,71.94,scattered clouds,27.8043,114.9334,Xinyu Beihu Hotel
441,Chicama,PE,74.21,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
445,Pimenta Bueno,BR,72.59,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
447,Thohoyandou,ZA,79.11,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
448,Maxixe,MZ,80.42,few clouds,-23.8597,35.3472,Oceano
449,Myitkyina,MM,92.12,broken clouds,25.3833,97.4,Shwe Phyu Hotel
453,Lianzhou,CN,78.39,broken clouds,24.7811,112.3825,Qingcheng Tourism Industry
454,Sorong,ID,84.4,heavy intensity rain,-0.8833,131.25,Waigo Splash Hotel
456,Jacareacanga,BR,71.19,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
461,Bukama,CD,71.98,overcast clouds,-9.2,25.85,
464,Qui Nhon,VN,78.19,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
465,Arlit,NE,77.14,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
467,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
471,Wanning,CN,78.53,broken clouds,18.8003,110.3967,Paradise Hotel
474,Iquique,CL,70.2,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
477,Montepuez,MZ,76.19,light rain,-13.1256,38.9997,PembaAparthotel
478,Maralal,KE,70.47,clear sky,1.0968,36.698,Ngari Hill Ecolodge
479,Dakoro,NE,73.51,scattered clouds,14.5106,6.765,Shagon mai liverpool
482,Colac,AU,81.01,broken clouds,-38.3333,143.5833,Otway Gate Motel
483,Kolokani,ML,73.02,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
487,Jieshi,CN,79.95,clear sky,22.8134,115.8257,Yuehai Hotel
489,Guanica,PR,74.21,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
490,Toamasina,MG,87.8,scattered clouds,-18.1667,49.3833,Hotel H1
491,Dourbali,TD,81.14,overcast clouds,11.8091,15.8632,
496,Ambovombe,MG,81.16,few clouds,-25.1667,46.0833,RELAHARA
499,Pratapgarh,IN,84.07,clear sky,24.0333,74.7833,Ratna Hotel
500,Porto Belo,BR,75.25,light rain,-27.1578,-48.5531,Costa Verde Beach Hotel
502,Ban Nahin,LA,91.98,clear sky,18.2418,104.2122,
505,Ixtapa,MX,70.23,clear sky,20.7,-105.2,hotel la terminal
506,Manaus,BR,77.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
507,Benjamin Constant,BR,75.33,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
508,Puerto Madryn,AR,71.31,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
509,Brejo,BR,72.19,overcast clouds,-3.6844,-42.7503,Hotel Santa Luzia
511,Koumac,NC,81.34,overcast clouds,-20.5667,164.2833,Le Monitel
512,Sandakan,MY,85.68,few clouds,5.8402,118.1179,Hotel Sandakan
515,Buchanan,LR,71.56,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
521,Urambo,TZ,73.24,light rain,-5.0667,32.05,Fair Lodge
522,Maragogi,BR,77.41,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Kanigoro,ID,81.46,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
524,San Policarpo,PH,81.9,few clouds,12.1791,125.5072,Agapita M. Nicart
527,Wattegama,LK,88.14,overcast clouds,6.7989,81.4808,
528,Tamandare,BR,77.63,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
531,Kavaratti,IN,82.6,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
534,Quatre Cocos,MU,82.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
539,Codrington,AU,76.17,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
547,Ranau,MY,81.25,scattered clouds,5.9538,116.6641,The Second Room
548,Chaozhou,CN,76.86,scattered clouds,23.6651,116.6379,Seven Corner View Homestay
549,Broken Hill,AU,87.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
551,Jingdezhen,CN,70.7,clear sky,29.2947,117.2079,Garden Hotel
552,Bambous Virieux,MU,82.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
554,Sao Jose Da Coroa Grande,BR,77.81,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
560,Narasannapeta,IN,87.84,scattered clouds,18.4167,84.05,AVK events and catering
562,Heilbron,ZA,74.21,clear sky,-27.2812,27.9709,Guest house
563,Inirida,CO,72.46,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
566,Kutum,SD,78.73,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
568,Rajgarh,IN,80.22,clear sky,28.6333,75.3833,Nand Plaza Hotel Bar & Restaurant - Best Hotel | Bar | Top Restaurant in Sadulpur
569,Manggar,ID,85.32,overcast clouds,-2.8833,108.2667,Guest Hotel
574,Kotido,UG,82.22,clear sky,2.9806,34.1331,Loware Joseph Mukasa's Residence
577,San Luis De Gaceno,CO,72.27,overcast clouds,4.8205,-73.1685,Hotel Buenos Aires
578,Moram,IN,89.4,clear sky,17.8,76.4667,Bangi Farm House Murum
579,Ibra,OM,81.05,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
580,Nhulunbuy,AU,92.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
585,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
586,Parrita,CR,78.57,scattered clouds,9.5201,-84.3225,Beso del Viento
587,Trairi,BR,76.33,overcast clouds,-3.2778,-39.2689,janelas do mar
590,Tezu,IN,86.4,clear sky,27.9167,96.1667,Circuit House
593,Vao,NC,79.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
595,Mabaruma,GY,72.48,broken clouds,8.2,-59.7833,Monty Brooms Guest House
597,Pemangkat,ID,84.61,clear sky,1.1667,108.9667,Ramah Kost KITA
598,Kieta,PG,81.66,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
599,Iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
601,Bosaso,SO,76.98,clear sky,11.2842,49.1816,Red Sea Hotel
603,Marzuq,YE,77.29,few clouds,14.4,46.4667,
608,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Hotel Imperador
610,Utinga,BR,79.2,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
611,Bintulu,MY,90.01,few clouds,3.1667,113.0333,900 Boutique INN
612,Petauke,ZM,72.54,overcast clouds,-14.2426,31.3253,Kwamwanja Wanthu
613,Gemena,CD,80.2,overcast clouds,3.25,19.7667,Hôtel Goshen
614,Galesong,ID,87.82,clear sky,-5.3166,119.3661,Sapriadi Appy
616,Madingou,CG,76.33,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
621,Rivadavia,AR,75.67,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
623,Simao,CN,82.36,scattered clouds,22.7886,100.9748,Changyu Hotel
624,Bara,NG,79.93,overcast clouds,10.3744,10.7288,
626,Kuching,MY,88.02,scattered clouds,1.55,110.3333,Hilton Kuching
631,Huarmey,PE,72.7,overcast clouds,-10.0681,-78.1522,Hotel Miramar
634,Sijunjung,ID,85.51,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
635,Tevaitoa,PF,81.95,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
639,Abonnema,NG,82.08,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
640,Morondava,MG,82.24,moderate rain,-20.2833,44.2833,La Case Bambou
642,Ducheng,CN,79.27,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
643,Carutapera,BR,75.96,scattered clouds,-1.195,-46.02,Lidera
644,Santa Rosa,PH,90.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
646,Naifaru,MV,82.83,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
648,Coolum Beach,AU,78.12,overcast clouds,-26.5333,153.1,Coolum Beach Resort
652,Kikwit,CD,75.06,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
655,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
656,Lumajang,ID,81.63,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
662,Lorengau,PG,84.02,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
668,Chichawatni,PK,74.46,scattered clouds,30.5333,72.7,Ever Green Guest House
671,Campoverde,PE,72.41,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
673,Jambi,ID,87.01,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
675,Bukavu,CD,70.09,few clouds,-2.5083,28.8608,Horizon Hotel
676,Auki,SB,81.28,overcast clouds,-8.7676,160.7034,Auki Motel
679,Santa Fe,AR,73.02,light rain,-31.6333,-60.7,Conquistador Hotel
685,Ippy,CF,85.06,overcast clouds,6.2679,21.2247,
692,Doha,QA,73.71,clear sky,25.2867,51.5333,Movenpick Hotel Doha
694,Dalbandin,PK,71.28,clear sky,28.8947,64.4101,Sanjrani House
696,San Lorenzo,PY,74.59,clear sky,-25.3333,-57.5333,Canarias Hotel
699,Voh,NC,80.11,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
702,Tabuk,PH,84.07,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
708,Teknaf,BD,86.76,clear sky,20.8624,92.3058,Forestry Guesthouse
709,Macherla,IN,92.19,scattered clouds,16.4833,79.4333,Vivek express
710,Lai,TD,83.26,overcast clouds,9.3952,16.2989,
712,Mahibadhoo,MV,83.05,few clouds,3.7833,72.9667,Omadhoo Inn
714,Le Port,RE,85.96,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
715,Muisne,EC,74.55,light rain,0.6,-80.0333,Quinta Samay
717,Acajutla,SV,75.79,clear sky,13.5928,-89.8275,Laureles
721,Harper,LR,75.06,broken clouds,4.375,-7.7169,Screensaver
723,Podor,MR,76.95,clear sky,16.6527,-14.9587,Auberge Du Tékrour
724,Hoi An,VN,78.76,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
