City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Mataura,NZ,2022-03-03 06:28:40,-46.1927,168.8643,63.48,67,96,5.64,overcast clouds
60,Esperance,AU,2022-03-03 06:28:41,-33.8667,121.9,67.84,54,79,19.89,broken clouds
61,Chuy,UY,2022-03-03 06:28:41,-33.6971,-53.4616,64.94,79,0,6.4,clear sky
62,Ewo,CG,2022-03-03 06:28:42,-0.8725,14.8206,73.78,87,95,3.96,overcast clouds
63,Zenzeli,RU,2022-03-03 06:28:43,45.9241,47.0474,47.03,66,83,19.62,broken clouds
64,Merauke,ID,2022-03-03 06:28:44,-8.4667,140.3333,84.74,70,84,9.35,light rain
65,Punta Arenas,CL,2022-03-03 06:24:14,-53.15,-70.9167,51.91,93,100,11.5,light rain
66,Bluff,NZ,2022-03-03 06:28:45,-46.6,168.3333,63.81,80,93,2.66,overcast clouds
67,Antofagasta,CL,2022-03-03 06:28:45,-23.65,-70.4,67.17,82,32,2.21,scattered clouds
68,Cherskiy,RU,2022-03-03 06:28:46,68.75,161.3,-16.02,99,75,4.34,broken clouds
69,Weiden,DE,2022-03-03 06:28:46,49.6775,12.1567,34.2,86,0,0.0,clear sky
70,Bredasdorp,ZA,2022-03-03 06:28:47,-34.5322,20.0403,70.92,68,0,12.66,clear sky
71,Lagos,NG,2022-03-03 06:24:49,6.5833,3.75,77.32,88,72,3.06,broken clouds
72,Maceio,BR,2022-03-03 06:25:02,-9.6658,-35.7353,76.44,88,40,1.14,scattered clouds
73,Hispania,CO,2022-03-03 06:28:48,5.7993,-75.9072,72.73,92,93,0.87,overcast clouds
74,Upernavik,GL,2022-03-03 06:28:49,72.7868,-56.1549,-0.15,86,98,7.07,overcast clouds
75,Lazaro Cardenas,MX,2022-03-03 06:28:50,17.9583,-102.2,72.5,79,0,5.08,clear sky
76,Ambilobe,MG,2022-03-03 06:28:50,-13.2,49.05,77.7,91,100,10.13,light rain
77,Barrow,US,2022-03-03 06:28:51,71.2906,-156.7887,10.42,85,100,8.05,overcast clouds
78,Yar-Sale,RU,2022-03-03 06:28:51,66.8333,70.8333,7.97,95,100,10.87,light snow
79,Port Blair,IN,2022-03-03 06:28:52,11.6667,92.75,87.84,70,40,9.22,scattered clouds
80,Monterey,US,2022-03-03 06:28:53,36.2505,-121.2516,50.7,37,90,4.83,overcast clouds
81,Yarada,IN,2022-03-03 06:28:54,17.65,83.2667,86.32,45,40,5.75,haze
82,Oyama,JP,2022-03-03 06:28:55,36.3,139.8,60.57,22,6,6.69,clear sky
83,Arraial Do Cabo,BR,2022-03-03 06:25:54,-22.9661,-42.0278,75.79,93,2,16.55,clear sky
84,Hermanus,ZA,2022-03-03 06:28:56,-34.4187,19.2345,65.89,83,0,9.57,clear sky
85,Baruun-Urt,MN,2022-03-03 06:28:56,46.6806,113.2792,28.67,56,81,17.87,broken clouds
86,Victoria,HK,2022-03-03 06:28:57,22.2855,114.1577,79.18,75,58,14.0,broken clouds
87,Road Town,VG,2022-03-03 06:28:58,18.4167,-64.6167,77.09,78,5,14.67,clear sky
88,Genhe,CN,2022-03-03 06:28:59,50.7833,121.5167,22.62,63,100,4.41,overcast clouds
